City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vila Velha,BR,2021-10-21 22:41:49,-20.3297,-40.2925,294.12,78,90,5.66
68,Yerbogachen,RU,2021-10-21 22:41:50,61.2767,108.0108,272.37,94,97,3.07
69,Muros,ES,2021-10-21 22:39:47,42.7762,-9.0603,288.62,94,38,1.96
70,Hermanus,ZA,2021-10-21 22:41:50,-34.4187,19.2345,289.15,75,100,4.98
71,Faanui,PF,2021-10-21 22:38:47,-16.4833,-151.75,299.23,74,23,3.57
72,Yar-Sale,RU,2021-10-21 22:40:44,66.8333,70.8333,271.37,92,100,2.97
73,Ambovombe,MG,2021-10-21 22:41:51,-25.1667,46.0833,290.38,81,4,2.73
74,Waingapu,ID,2021-10-21 22:41:52,-9.6567,120.2641,300.35,71,71,1.73
75,Nome,US,2021-10-21 22:41:52,64.5011,-165.4064,274.19,80,90,3.6
76,Yairipok,IN,2021-10-21 22:41:52,24.6667,94.0667,290.46,98,81,0.33
77,Tiksi,RU,2021-10-21 22:40:15,71.6872,128.8694,260.56,94,100,5.02
78,Santa Maria Da Vitoria,BR,2021-10-21 22:41:53,-13.3947,-44.1886,296.91,88,91,1.54
79,Half Moon Bay,US,2021-10-21 22:41:53,37.4636,-122.4286,299.16,80,90,0.45
80,Codrington,AU,2021-10-21 22:41:54,-38.2667,141.9667,288.83,84,47,0.9
81,Tuburan,PH,2021-10-21 22:41:54,6.6439,122.2736,300.85,78,85,0.62
82,Japura,ID,2021-10-21 22:41:55,-0.3167,102.35,295.84,98,77,0.36
83,Rocha,UY,2021-10-21 22:41:55,-34.4833,-54.3333,285.17,89,5,3.07
84,Goderich,CA,2021-10-21 22:38:58,43.7501,-81.7165,288.66,88,97,7.72
85,Clyde River,CA,2021-10-21 22:41:56,70.4692,-68.5914,268.28,86,40,2.06
86,Nikolskoye,RU,2021-10-21 22:37:50,59.7035,30.7861,285.38,79,100,6.58
87,Ordynskoye,RU,2021-10-21 22:41:56,54.3656,81.8994,280.14,66,100,4.97
88,Shenjiamen,CN,2021-10-21 22:41:57,29.9576,122.298,289.52,71,50,8.94
89,Guerrero Negro,MX,2021-10-21 22:37:52,27.9769,-114.0611,295.97,66,0,5.68
90,Pangody,RU,2021-10-21 22:39:23,65.85,74.4859,270.6,80,99,1.95
